district,page,price_clean,bedrooms_clean,bathrooms_clean,garage_clean,land_area_clean,building_area_clean
Tapos,129,2500000000.0,4.0,3.0,10.0,438.0,110.0
Pancoran Mas,129,385000000.0,3.0,2.0,1.0,50.0,60.0
Cipayung,129,385000000.0,3.0,2.0,1.0,50.0,60.0
Rangkapanjaya,129,385000000.0,3.0,2.0,1.0,50.0,60.0
Pancoran Mas,129,385000000.0,3.0,2.0,1.0,50.0,60.0
Cipayung,129,385000000.0,3.0,2.0,1.0,50.0,60.0
Sawangan,129,950000000.0,2.0,1.0,1.0,87.0,50.0
Sukmajaya,129,2500000000.0,3.0,2.0,,409.0,300.0
Cinere,129,3700000000.0,4.0,3.0,,280.0,240.0
Sawangan,129,1850000000.0,5.0,4.0,3.0,187.0,250.0
Depok II,129,1200000000.0,2.0,1.0,1.0,114.0,47.0
Cibubur,129,2180000000.0,3.0,3.0,,128.0,138.0
Depok II,129,2000000000.0,3.0,2.0,1.0,90.0,85.0
Cibubur,129,1900000000.0,3.0,2.0,1.0,121.0,144.0
Cibubur,129,3300000000.0,4.0,3.0,2.0,238.0,120.0
Rangkapanjaya,130,385000000.0,3.0,2.0,1.0,50.0,60.0
Pancoran Mas,130,385000000.0,3.0,2.0,1.0,50.0,60.0
Cipayung,130,385000000.0,3.0,2.0,1.0,50.0,60.0
Pancoran Mas,130,2000000000.0,3.0,3.0,1.0,147.0,250.0
Depok I,130,2150000000.0,3.0,3.0,1.0,135.0,170.0
Cilodong,130,630000000.0,2.0,1.0,1.0,75.0,45.0
Depok I,130,2500000000.0,3.0,2.0,1.0,151.0,160.0
Cinere,130,2600000000.0,3.0,3.0,1.0,230.0,242.0
Depok I,130,5500000000.0,4.0,,,1050.0,650.0
Sukmajaya,130,1200000000.0,3.0,2.0,2.0,120.0,100.0
Cinangka,130,840000000.0,3.0,2.0,1.0,66.0,60.0
Cinere,130,2500000000.0,3.0,3.0,1.0,228.0,204.0
Limo,130,2000000000.0,2.0,,,100.0,106.0
Beji,130,850000000.0,3.0,2.0,,49.0,98.0
Cinere,130,3400000000.0,3.0,3.0,1.0,175.0,195.0
Cipayung,130,600000000.0,5.0,2.0,,60.0,60.0
