Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Kecamatan,Page
"2,5 Miliar",4,3,10,LT : 438 m²,LB : 110 m²,Tapos,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Cipayung,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Cipayung,129
950 Juta,2,1,1,LT : 87 m²,LB : 50 m²,Sawangan,129
525 Juta,2,1,LB:41 m²,,,Cinere,129
"2,5 Miliar",3,2,LT:409 m²,LB : 300 m²,,Sukmajaya,129
"3,7 Miliar",4,3,LT:280 m²,LB : 240 m²,,Cinere,129
"1,85 Miliar",5,4,3,LT : 187 m²,LB : 250 m²,Sawangan,129
"5,3 Miliar Total",LT:1368 m²,,,,,Depok I,129
"1,2 Miliar",2,1,1,LT : 114 m²,LB : 47 m²,Depok II,129
525 Juta,1,1,LB:25 m²,,,Margonda,129
"2,18 Miliar",3,3,LT:128 m²,LB : 138 m²,,Cibubur,129
2 Miliar,3,2,1,LT : 90 m²,LB : 85 m²,Depok II,129
30 Miliar Total,LT:2520 m²,,,,,Depok II,129
"1,7 Miliar",3,2,LB:73 m²,,,Cibubur,129
"1,9 Miliar",3,2,1,LT : 121 m²,LB : 144 m²,Cibubur,129
"3,3 Miliar",4,3,2,LT : 238 m²,LB : 120 m²,Cibubur,129
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Rangkapanjaya,130
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,130
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Cipayung,130
2 Miliar,3,3,1,LT : 147 m²,LB : 250 m²,Pancoran Mas,130
"2,15 Miliar",3,3,1,LT : 135 m²,LB : 170 m²,Depok I,130
630 Juta,2,1,1,LT : 75 m²,LB : 45 m²,Cilodong,130
"28,1 Juta Total",LT:12 m²,,,,,Depok I,130
"2,5 Miliar",3,2,1,LT : 151 m²,LB : 160 m²,Depok I,130
40 Miliar,LT:4000 m²,LB:1200 m²,,,,Margonda,130
"2,6 Miliar",3,3,1,LT : 230 m²,LB : 242 m²,Cinere,130
"5,5 Miliar Total",4,LT:1050 m²,LB:650 m²,,,Depok I,130
"1,2 Miliar",3,2,2,LT : 120 m²,LB : 100 m²,Sukmajaya,130
"104,5 Miliar Total",LT:19000 m²,,,,,Cilodong,130
840 Juta,3,2,1,LT : 66 m²,LB : 60 m²,Cinangka,130
"2,5 Miliar",3,3,1,LT : 228 m²,LB : 204 m²,Cinere,130
2 Miliar Total,2,LT:100 m²,LB:106 m²,,,Limo,130
850 Juta,3,2,LT:49 m²,LB : 98 m²,,Beji,130
"3,4 Miliar",3,3,1,LT : 175 m²,LB : 195 m²,Cinere,130
600 Juta,5,2,LT:60 m²,LB : 60 m²,,Cipayung,130
385 Juta,3,2,1,LT : 50 m²,LB : 60 m²,Pancoran Mas,130
